familial,"of, relating to, or occurring in a family or its members."
Familiar,well known from long or close association.
Fast,moving or capable of moving at high speed.
faulty,working badly or unreliably because of imperfections.
feminine,"having qualities or appearance traditionally associated with women, esp. delicacy and prettiness."
fit,"of a suitable quality, standard, or type to meet the required purpose."
Flexible,capable of bending easily without breaking.
flowing,hanging or draping loosely and gracefully.
Fragile,easily broken or damaged.
frail,weak and delicate.
Fresh,not previously known or used; new or different.
Friendly,kind and pleasant.
Frustrating,causing feelings of anger and annoyance
Fun,"enjoyment, amusement, or lighthearted pleasure."
gentle,mild in temperament or behavior; kind or tender.
healing,the process of making or becoming sound or healthy again.
healthy,in good health.
heartfelt,sincere; deeply and strongly felt.
Helpful,giving or ready to give help.
helpless,unable to defend oneself or to act without help.
High quality,the quality of being superior
hopeful,feeling or inspiring optimism about a future event.
hovering,remain in one place in the air.
humane,having or showing compassion or benevolence.
hypnotic,"of, producing, or relating to hypnosis."
Impersonal,"not influenced by, showing, or involving personal feelings."
Impressive,"evoking admiration through size, quality, or skill: grand, imposing, or awesome."
Incomprehensible,not able to be understood; not intelligible.
Inconsistent ,not staying the same throughout.
individual,single; separate
Ineffective,not producing any significant or desired effect.
Innovative,featuring new methods; advanced and original.
Inspiring,having the effect of inspiring someone.
Integrated,"having been integrated, in particular."
intelligent,"having or showing intelligence, esp. of a high level."
intensive,concentrated on a single area or subject or into a short time; very thorough or vigorous.
intimate,"closely acquainted; familiar, close."
Intimidating,"frighten or overawe (someone), esp. in order to make them do what one wants."
Intuitive,using or based on what one feels to be true even without conscious reasoning; instinctive.
Inviting,offering the promise of an attractive or enjoyable experience.
Irrelevant,not connected with or relevant to something.
isolated,"far away from other places, buildings, or people; remote."
laughing,make the spontaneous sounds and movements of the face and body that are the instinctive expressions of lively amusement and sometimes also of contempt or derision.
lethargic,affected by lethargy; sluggish and apathetic.
lively,full of life and energy; active and outgoing.
logical,of or according to the rules of logic or formal argument.
loving,feeling or showing love or great care.
Low Maintenance,requiring little work to keep in good condition.
masculine,"having qualities or appearance traditionally associated with men, esp. strength and aggressiveness."
Meaningful ,having meaning.
mobile,able to move or be moved freely or easily.
Motivating ,provide (someone) with a motive for doing something.
moving,in motion.
natural,existing in or caused by nature; not made or caused by humankind.
Novel,"a fictitious prose narrative of book length, typically representing character and action with some degree of realism."
objective,not influenced by personal feelings or opinions in considering and representing facts.
Old,having lived for a long time; no longer young.
oppressive,"unjustly inflicting hardship and constraint, esp. on a minority or other subordinate group."
Optimistic,hopeful and confident about the future.
Ordinary,with no special or distinctive features; normal.
organic,"of, relating to, or derived from living matter."
Organized,"arranged in a systematic way, esp. on a large scale."
oriented,align or position (something) relative to the points of a compass or other specified positions
Overbearing,unpleasantly or arrogantly domineering.
Overwhelming ,very great in amount.
pain-free,not accompanied by pain sensations
passive,"accepting or allowing what happens or what others do, without active response or resistance."
Patronizing,treat with an apparent kindness that betrays a feeling of superiority.
peaceful,free from disturbance; tranquil.
Personal,"of, affecting, or belonging to a particular person rather than to anyone else."
plain,not decorated or elaborate; simple or ordinary in character.
playful,fond of games and amusement; lighthearted.
popular,"liked, admired, or enjoyed by many people or by a particular person or group."
Powerful,having great power or strength.
practical,of or concerned with the actual doing or use of something rather than with theory and ideas.
Predictable,able to be predicted.
premium,an amount to be paid for an insurance policy.
Professional ,"of, relating to, or connected with a profession."
protected,keep safe from harm or injury.
rational,based on or in accordance with reason or logic.
recreative,another term for recreational.
relaxing,make or become less tense or anxious.
Relevant,closely connected or appropriate to the matter at hand.
Reliable,consistently good in quality or performance; able to be trusted.
Responsive,reacting quickly and positively.
Rigid,unable to bend or be forced out of shape; not flexible.
Satisfying ,giving fulfillment or the pleasure associated with this.
Secure,"fixed or fastened so as not to give way, become loose, or be lost."
sick,affected by physical or mental illness.
Simplistic,treating complex issues and problems as if they were much simpler than they really are.
Slow,"oving or operating, or designed to do so, only at a low speed; not quick or fast."
social,of or relating to society or its organization.
soothing,having a gently calming effect.
Sophisticated,developed to a high degree of complexity.
spiritual,"of, relating to, or affecting the human spirit or soul as opposed to material or physical things."
Stable,not likely to change or fail; firmly established.
Sterile,not able to produce children or young.
stimulant,a substance that raises levels of physiological or nervous activity in the body.
Stimulating,encouraging or arousing interest or enthusiasm.
Straight Forward,uncomplicated and easy to do or understand.
Stressful,causing mental or emotional stress.
subconscious,of or concerning the part of the mind of which one is not fully aware but which influences one's actions and feelings.
suffering,"the state of undergoing pain, distress, or hardship."
suggestive,tending to suggest an idea.
sustainable,able to be maintained at a certain rate or level.
theoretical,concerned with or involving the theory of a subject or area of study rather than its practical application.
Time-consuming,taking a lot of or too much time.
Time-Saving ,making it possible to do something quickly : causing something to happen or end faster
Too Technical,"of or relating to a particular subject, art, or craft, or its techniques."
toxic,poisonous.
traditional,existing in or as part of a tradition; long-established.
Trustworthy,able to be relied on as honest or truthful.
Unapproachable,not welcoming or friendly.
Unattractive,not pleasing or appealing to look at.
Uncontrollable,not controllable.
Unconventional,not based on or conforming to what is generally done or believed.
Understandable,able to be understood.
Undesirable,"not wanted or desirable because harmful, objectionable, or unpleasant."
Unpredictable,not able to be predicted.
Unrefined,not processed to remove impurities or unwanted elements.
unstable,"prone to change, fail, or give way; not stable."
Usable,able or fit to be used.
Useful,able to be used for a practical purpose or in several ways.
Valuable,"a thing that is of great worth,"
warm,of or at a fairly or comfortably high temperature.
weary,"feeling or showing tiredness, esp. as a result of excessive exertion or lack of sleep."
youthful,young or seeming young.
