industry,shade,color,country,attribute
pharma,NA,red,france,fast acting
pharma,NA,red,germany,fast acting
pharma,NA,white,india,fast acting
pharma,NA,red,italy,fast acting
pharma,NA,yellow,japan,fast acting
pharma,NA,red,korea,fast acting
pharma,NA,red,spain,fast acting
pharma,NA,red,UK,fast acting
pharma,light,yellow,france,fear
pharma,NA,black,brazil,fear
pharma,NA,black,china,fear
pharma,NA,red,germany,fear
pharma,NA,red,india,fear
pharma,NA,black,italy,fear
pharma,NA,red,japan,fear
pharma,NA,red,korea,fear
pharma,NA,black,spain,fear
pharma,NA,black,UK,fear
pharma,NA,black,USA,fear
pharma,dark,blue,france,first in class
pharma,dark,red,UK,first in class
pharma,light,yellow,india,first in class
pharma,NA,blue,brazil,first in class
pharma,NA,yellow,china,first in class
pharma,NA,white,germany,first in class
pharma,NA,green,italy,first in class
pharma,NA,pink,japan,first in class
pharma,NA,green,korea,first in class
pharma,NA,red,spain,first in class
pharma,NA,purple,USA,first in class
pharma,dark,blue,brazil,happy
pharma,dark,blue,germany,happy
pharma,dark,red,china,happy
pharma,dark,red,italy,happy
pharma,dark,red,USA,happy
pharma,dark,yellow,france,happy
pharma,dak,yellow,korea,happy
pharma,dark,yellow,spain,happy
pharma,NA,red,india,happy
pharma,NA,orange,japan,happy
pharma,NA,yellow,UK,happy
pharma,light,green,italy,innovation
pharma,light,green,USA,innovation
pharma,dark,red,germany,innovation
pharma,dark,red,india,innovation
pharma,dark,yellow,korea,innovation
pharma,NA,purple,brazil,innovation
pharma,NA,green,china,innovation
pharma,NA,gray,france,innovation
pharma,NA,purple,japan,innovation
pharma,NA,blue,spain,innovation
pharma,NA,gray,UK,innovation
pharma,light,green,brazil,interest
pharma,dark,red,france,interest
pharma,dark,red,india,interest
pharma,dark,red,italy,interest
pharma,dark,red,UK,interest
pharma,NA,pink,china,interest
pharma,NA,freen,germany,interest
pharma,NA,red,japan,interest
pharma,NA,orange,korea,interest
pharma,NA,red,spain,interest
pharma,NA,purple,USA,interest
pharma,dark,red,china,love
pharma,dark,red,germany,love
pharma,dark,red,india,love
pharma,dark,red,italy,love
pharma,dark,red,japan,love
pharma,dark,red,korea,love
pharma,dark,red,UK,love
pharma,NA,red,brazil,love
pharma,NA,red,france,love
pharma,NA,red,spain,love
pharma,NA,red,USA,love
pharma,dark,blue,italy,neutral
pharma,dark,green,spain,neutral
pharma,NA,purple,brazil,neutral
pharma,NA,green,china,neutral
pharma,NA,white,france,neutral
pharma,NA,white,germany,neutral
pharma,NA,white,india,neutral
pharma,NA,brown,japan,neutral
pharma,NA,yellow,korea,neutral
pharma,NA,brown,UK,neutral
pharma,NA,brown,USA,neutral
pharma,light,blue/green,italy,new
pharma,light,green,korea,new
pharma,dark,orange,china,new
pharma,NA,purple,brazil,new
pharma,NA,purple,france,new
pharma,NA,gray,germany,new
pharma,NA,pink,india,new
pharma,NA,yellow,japan,new
pharma,NA,gray,spain,new
pharma,NA,gray,UK,new
pharma,NA,magenta,USA,new
pharma,NA,white,brazil,plain
pharma,NA,brown,china,plain
pharma,NA,white,france,plain
pharma,NA,white,germany,plain
pharma,NA,white,india,plain
pharma,NA,red,italy,plain
pharma,NA,white,japan,plain
pharma,NA,white,korea,plain
pharma,NA,brown,spain,plain
pharma,NA,white,UK,plain
pharma,NA,white,USA,plain
pharma,light,blue/green,brazil,powerful
pharma,NA,brown,china,powerful
pharma,dark,red,india,powerful
pharma,NA,red,france,powerful
pharma,NA,white,germany,powerful
pharma,NA,red,italy,powerful
pharma,NA,red,japan,powerful
pharma,NA,red,korea,powerful
pharma,NA,red,spain,powerful
pharma,NA,red,UK,powerful
pharma,NA,red,USA,powerful
pharma,dark,yellow,france,quality
pharma,light,yellow,japan,quality
pharma,NA,blue,brazil,quality
pharma,NA,green,china,quality
pharma,NA,red,germany,quality
pharma,NA,orange,india,quality
pharma,NA,red,italy,quality
pharma,NA,blue,korea,quality
pharma,NA,red,spain,quality
pharma,NA,green,UK,quality
pharma,NA,blue,USA,quality
pharma,dark,blue,france,relieving
pharma,NA,brown,china,relieving
pharma,dark,green,UK,relieving
pharma,dark,red,brazil,relieving
pharma,dark,red,germany,relieving
pharma,dark,red,india,relieving
pharma,dark,yellow,korea,relieving
pharma,light,yellow,USA,relieving
pharma,NA,green,italy,relieving
pharma,NA,yellow/orange,japan,relieving
pharma,NA,white,spain,relieving
pharma,dark,blue,brazil,safe
pharma,dark,red,france,safe
pharma,dark,red,spain,safe
pharma,NA,white,china,safe
pharma,NA,white,germany,safe
pharma,NA,white,india,safe
pharma,NA,white,italy,safe
pharma,NA,green,japan,safe
pharma,NA,brown,korea,safe
pharma,NA,gray,UK,safe
pharma,NA,white,USA,safe
pharma,dark,yellow,spain,trust
pharma,NA,blue,brazil,trust
pharma,NA,green,china,trust
pharma,NA,white,france,trust
pharma,NA,white,germany,trust
pharma,NA,white,india,trust
pharma,NA,green,italy,trust
pharma,NA,green,japan,trust
pharma,NA,white,korea,trust
pharma,NA,white,UK,trust
pharma,NA,white,USA,trust
pharma,NA,black,brazil,unhealthy
pharma,NA,black,china,unhealthy
pharma,NA,black,france,unhealthy
pharma,NA,black,germany,unhealthy
pharma,NA,black,india,unhealthy
pharma,NA,black,italy,unhealthy
pharma,NA,gray,japan,unhealthy
pharma,NA,brown,korea,unhealthy
pharma,NA,black,spain,unhealthy
pharma,NA,black,UK,unhealthy
pharma,NA,black,USA,unhealthy
